Number          RA(User)          DEC(User)         GOOD       SIG-MONO     Flux-tot       Error           Grd-axe        Pt-axe        Angle      Mass      Err-Mass     alpha_vir
150          290.9428026        14.496939           1.05        10.52       3.69e-02      2.66e-03         1.42e+00       9.13e-01     3.24e+01    18.54      1.34          0.017 
151          290.9235153        14.5170695          1.39        13.87       1.25e-02      1.59e-03         8.64e-01       7.75e-01     8.71e+01    6.26       0.8           0.0384
152          290.9400565        14.5008786          1.27        12.65       6.90e-03      5.99e-04         1.54e+00       1.37e+00     8.61e+01    3.46       0.3           0.1233
153          290.9431965        14.5027893          1.17        11.74       1.01e-02      7.03e-04         1.55e+00       1.15e+00     1.67e+02    5.1        0.35          0.0746
154          290.9334033        14.5032974          1.06        10.56       7.18e-03      1.01e-03         1.20e+00       1.03e+00     4.06e+01    3.61       0.51          0.0899
155          290.932428         14.5031076          1.53        15.28       1.06e-02      1.34e-03         1.46e+00       1.46e+00     9.36e+01    5.34       0.67          0.0819
156          290.9405474        14.4953682          1.47        14.73       1.05e-02      1.60e-03         9.41e-01       9.41e-01     8.61e+01    5.26       0.81          0.0535
157          290.9217673        14.5021249          1.27        12.72       6.08e-03      1.47e-03         9.41e-01       9.41e-01     1.50e+02    3.06       0.74          0.092 
158          290.9255804        14.5168958          1.03        10.27       1.85e-02      1.21e-03         1.76e+00       1.32e+00     1.23e+02    9.3        0.61          0.0467
159          290.9258747        14.5053981          0.0         10.59       4.44e-03      6.51e-04         1.43e+00       5.78e-01     3.39e+01    2.23       0.33          0.1049
160          290.9235469        14.5172139          0.0         14.15       3.28e-04      1.10e-03         7.19e-01       6.11e-01     7.34e+01    0.16       0.55          1.1719
